Gene stable ID	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSMUSG00000114286	Gm47850	112901382	112902150	13
ENSMUSG00000087149	Itih5l-ps	149609968	149640049	X
ENSMUSG00000021759	Plpp1	112937326	113004428	13
ENSMUSG00000020167	Tcf3	80245348	80269481	10
ENSMUSG00000088146	Gm24718	95194443	95194578	X
ENSMUSG00000090936	Gm17705	35384095	35386162	17
ENSMUSG00000024397	Aif1	35389967	35395044	17
ENSMUSG00000108411	Gm44818	43210743	43211100	7
ENSMUSG00000015812	Gnrh1	67982630	67986888	14
ENSMUSG00000056592	Zfp658	43211680	43224885	7
ENSMUSG00000097189	Gm26594	95763278	95768797	3
ENSMUSG00000054312	Mrps21	95769946	95778831	3
ENSMUSG00000082279	Gm12870	107184681	107185696	4
ENSMUSG00000086041	Gm12869	107206236	107208550	4
ENSMUSG00000086001	Gm13448	34802883	34806026	2
ENSMUSG00000098311	Gm27191	149631834	149632374	X
ENSMUSG00000081194	Gm8424	149707616	149709155	X
ENSMUSG00000118962	AC148013.1	8082253	8082358	18
ENSMUSG00000028614	Ndc1	107224981	107273543	4
ENSMUSG00000026875	Traf1	34831762	34851784	2
ENSMUSG00000025266	Gnl3l	149766137	149800318	X
ENSMUSG00000030469	Zfp719	43229034	43242659	7
ENSMUSG00000032340	Neo1	58781970	58943724	9
ENSMUSG00000080727	C920021L13Rik	95778834	95796405	3
ENSMUSG00000087120	Gm12279	62440873	62441867	11
ENSMUSG00000019505	Ubb	62441997	62444039	11
ENSMUSG00000044447	Dock5	67989584	68170891	14
ENSMUSG00000115522	Gm49173	95699914	95702282	15
ENSMUSG00000038550	Ciart	95785815	95789563	3
ENSMUSG00000078648	Gm17546	95722339	95727953	15
ENSMUSG00000055102	Zfp819	43256593	43267709	7
ENSMUSG00000115049	Gm49172	95870620	95892010	15
ENSMUSG00000016018	Mtrex	113003952	113063932	13
ENSMUSG00000078925	D030018L15Rik	95949484	95977434	15
ENSMUSG00000103192	Gm37645	80643726	80647281	1
ENSMUSG00000104488	Gm38062	80706526	80708381	1
ENSMUSG00000102721	A630081D01Rik	80724939	80726771	1
ENSMUSG00000085748	Gm12280	62455303	62457209	11
ENSMUSG00000099949	Gm29124	80875371	80875822	1
ENSMUSG00000097536	2610037D02Rik	96032700	96182376	15
ENSMUSG00000099918	Gm28066	80927143	80927614	1
ENSMUSG00000018507	Trpv2	62465312	62491341	11
ENSMUSG00000106807	Gm10441	53676602	53680073	5
ENSMUSG00000054976	Nyap2	81054667	81319479	1
ENSMUSG00000097619	4833422M21Rik	96129751	96152565	15
ENSMUSG00000107111	Gm40304	53703693	53704664	5
ENSMUSG00000029193	Cckar	53855118	53865047	5
ENSMUSG00000030472	Ceacam18	43284131	43298719	7
ENSMUSG00000033237	Arid2	96185399	96302873	15
ENSMUSG00000031667	Aktip	91838412	91926604	8
ENSMUSG00000033152	Podxl2	88819540	88852026	6
ENSMUSG00000038543	BC028528	95791266	95799317	3
ENSMUSG00000083533	Gm13450	34854750	34854916	2
ENSMUSG00000026874	Hc	34873343	34951450	2
ENSMUSG00000030474	Siglece	43300494	43309585	7
ENSMUSG00000039178	Tbc1d19	53966948	54061307	5
ENSMUSG00000086076	Ncr3-ps	35399511	35403638	17
ENSMUSG00000065436	Mir342	108624879	108624977	12
ENSMUSG00000021263	Degs2	108644970	108668570	12
ENSMUSG00000104029	Gm37210	81498053	81500056	1
ENSMUSG00000101986	Gm6198	81531872	81535198	1
ENSMUSG00000073412	Lst1	35404071	35407415	17
ENSMUSG00000087008	Gm5530	81719700	81720684	1
ENSMUSG00000100561	Gm7516	81774956	81775661	1
ENSMUSG00000103571	Gm37114	82082901	82084704	1
ENSMUSG00000098797	Mir6344	82109637	82109740	1
ENSMUSG00000055980	Irs1	82210822	82269137	1
ENSMUSG00000015750	Aph1a	95801281	95805600	3
ENSMUSG00000024399	Ltb	35413415	35415296	17
ENSMUSG00000113396	Gm33467	108661741	108662701	12
ENSMUSG00000114102	Gm48048	108703396	108703881	12
ENSMUSG00000108783	Gm36546	43320265	43320738	7
ENSMUSG00000081782	Gm15152	149788866	149789524	X
ENSMUSG00000086841	2410006H16Rik	62493703	62495633	11
ENSMUSG00000112971	Gm33682	108728286	108729170	12
ENSMUSG00000038888	Ctu1	43321440	43327722	7
ENSMUSG00000025265	Fgd1	149829146	149872517	X
ENSMUSG00000114045	Gm34220	108755961	108758669	12
ENSMUSG00000022591	Gm9747	82210833	82213654	1
ENSMUSG00000021264	Yy1	108758899	108786074	12
ENSMUSG00000085398	4931406G06Rik	90841544	90853565	16
ENSMUSG00000064818	Gm22359	153494254	153494361	X
ENSMUSG00000026142	Rhbdd1	82294173	82423087	1
ENSMUSG00000088044	Gm23326	43817195	43817299	9
ENSMUSG00000119417	AC165168.1	11584744	11584922	19
ENSMUSG00000039851	4932438H23Rik	90850823	90892010	16
ENSMUSG00000046417	Lrrc75a	62495710	62539349	11
ENSMUSG00000081176	H3f3a-ps2	90911077	90911487	16
ENSMUSG00000098291	Mir6973a	35413948	35414025	17
ENSMUSG00000024401	Tnf	35418357	35420983	17
ENSMUSG00000116981	Gm49611	90930009	90930317	16
ENSMUSG00000044737	Klk14	43339842	43344960	7
ENSMUSG00000116749	Gm49612	90932163	90932364	16
ENSMUSG00000116763	Gm41492	90935343	90955977	16
ENSMUSG00000116713	Gm49613	90971877	90972222	16
ENSMUSG00000116882	Gm49614	91018988	91019814	16
ENSMUSG00000085828	Gm15612	88819836	88824256	6
ENSMUSG00000039830	Olig2	91022345	91025565	16
ENSMUSG00000085762	Lrrc75aos2	62496592	62498574	11
ENSMUSG00000038526	Car14	95805080	95812003	3
ENSMUSG00000107432	Gm36189	88859637	88860159	6
ENSMUSG00000085170	Lrrc75aos1	62525530	62529614	11
ENSMUSG00000002870	Mcm2	88860456	88875762	6
ENSMUSG00000108734	Gm44817	43342068	43342520	7
ENSMUSG00000102958	Gm37016	91059386	91060186	16
ENSMUSG00000097178	2310002F09Rik	43344633	43447382	7
ENSMUSG00000046160	Olig1	91066660	91068821	16
ENSMUSG00000048497	Mmgt2	62539490	62557180	11
ENSMUSG00000064742	Rnu6-ps1	54818634	54818740	14
ENSMUSG00000033228	Scaf11	96309580	96358724	15
ENSMUSG00000104493	Gm19552	82329938	82332770	1
ENSMUSG00000085865	Gm15966	91068665	91125931	16
ENSMUSG00000100786	Gm28940	82370214	82380467	1
ENSMUSG00000054046	Klk13	43361991	43376958	7
ENSMUSG00000098067	Gm26943	113020760	113021716	13
ENSMUSG00000067158	Col4a4	82426144	82564570	1
ENSMUSG00000042426	Dhx29	113063988	113105966	13
ENSMUSG00000034762	Glis1	107291788	107492258	4
ENSMUSG00000089184	Gm22947	78452471	78452561	11
ENSMUSG00000024402	Lta	35422141	35424327	17
ENSMUSG00000022971	Ifnar2	91169671	91202477	16
ENSMUSG00000021265	Slc25a29	108791799	108801809	12
ENSMUSG00000081852	Gm12281	62588044	62588341	11
ENSMUSG00000005267	Zfp287	62591182	62622731	11
ENSMUSG00000108588	Gm44814	43365414	43365847	7
ENSMUSG00000044430	Klk12	43418321	43423009	7
ENSMUSG00000109727	Gm45464	91840390	91843299	8
ENSMUSG00000110189	Gm45665	91878835	91879002	8
ENSMUSG00000099006	Mir6974	35423451	35423533	17
ENSMUSG00000109755	Gm8489	91884367	91885518	8
ENSMUSG00000042419	Nfkbil1	35439151	35454768	17
ENSMUSG00000110106	Gm45666	91887144	91897808	8
ENSMUSG00000064857	n-R5s25	34780453	34780571	18
ENSMUSG00000110089	Gm36243	91937198	91951295	8
ENSMUSG00000048856	Slc25a47	108801972	108822741	12
ENSMUSG00000085599	Gm13449	34883985	34903458	2
ENSMUSG00000098730	Mir6407	52999087	52999187	19
ENSMUSG00000099988	1700054A03Rik	53022079	53072947	19
ENSMUSG00000033282	Rpgrip1l	91943658	92039890	8
ENSMUSG00000098866	Mir6539	68097085	68097194	14
ENSMUSG00000107182	Gm43268	54062506	54066560	5
ENSMUSG00000114621	Gm31107	68281877	68288779	14
ENSMUSG00000015749	Anp32e	95836558	95854702	3
ENSMUSG00000107173	Gm43266	54075786	54077556	5
ENSMUSG00000035875	AI182371	34971873	34991555	2
ENSMUSG00000022054	Nefm	68320039	68362295	14
ENSMUSG00000039156	Stim2	54155841	54278399	5
ENSMUSG00000118233	Gm30381	53117115	53120224	19
ENSMUSG00000118003	Gm9618	53122903	53123756	19
ENSMUSG00000098292	Gm27194	62640678	62643613	11
ENSMUSG00000081650	Gm16181	35439810	35443110	17
ENSMUSG00000084020	Wsb2-ps	62640890	62642106	11
ENSMUSG00000047342	Zfp286	62643403	62680288	11
ENSMUSG00000067616	Klk11	43424028	43428687	7
ENSMUSG00000024403	Atp6v1g2	35452636	35457743	17
ENSMUSG00000025026	Add3	53128874	53235830	19
ENSMUSG00000116253	Gm41392	96392458	96392824	15
ENSMUSG00000116160	Gm41392	96395783	96396769	15
ENSMUSG00000022055	Nefl	68321312	68326544	14
ENSMUSG00000023169	Slc38a1	96469299	96540794	15
ENSMUSG00000025264	Tsr2	149870090	149879539	X
ENSMUSG00000065429	Mir345	108802899	108802994	12
ENSMUSG00000021266	Wars	108825956	108860100	12
ENSMUSG00000019432	Ddx39b	35460722	35472683	17
ENSMUSG00000028610	Dmrtb1	107533487	107541427	4
ENSMUSG00000114466	Gm19216	68351382	68352594	14
ENSMUSG00000114925	Gm47212	68455702	68461260	14
ENSMUSG00000114396	Gm31227	68699080	68733866	14
ENSMUSG00000096083	Gm10428	62643926	62644324	11
ENSMUSG00000086674	Zfp286os	62652062	62656380	11
ENSMUSG00000022056	Adam7	68734785	68771190	14
ENSMUSG00000064581	Gm25133	96826263	96826392	14
ENSMUSG00000111846	Gm47271	58886534	58941139	9
ENSMUSG00000047821	Trim16	62711057	62741634	11
ENSMUSG00000066592	Gm7589	59052960	59053493	9
ENSMUSG00000110789	Gm33053	59098693	59142354	9
ENSMUSG00000081942	Gm15149	149939603	149939962	X
ENSMUSG00000081625	Rps12-ps7	149948721	149949105	X
ENSMUSG00000025236	Adpgk	59198841	59231335	9
ENSMUSG00000086286	Gm15138	149952696	149954760	X
ENSMUSG00000041245	Wnk3	149981074	150103148	X
ENSMUSG00000081916	Gm12899	107545325	107545875	4
ENSMUSG00000085549	1700047F07Rik	107546898	107616182	4
ENSMUSG00000022462	Slc38a2	96585273	96597611	15
ENSMUSG00000030693	Klk10	43430459	43434834	7
ENSMUSG00000057110	Cntrl	34999504	35068834	2
ENSMUSG00000093178	Snord87	10012688	10012774	1
ENSMUSG00000114477	Gm8795	113074119	113074557	13
ENSMUSG00000084874	Gm12906	107617222	107617662	4
ENSMUSG00000042417	Ccno	113124336	113127311	13
ENSMUSG00000087195	Gm12907	107622277	107627798	4
ENSMUSG00000002871	Tpra1	88879233	88889220	6
ENSMUSG00000087289	4933424M12Rik	107640917	107647118	4
ENSMUSG00000109828	Gm45662	91985066	91987163	8
ENSMUSG00000109956	Gm45428	92032595	92034383	8
ENSMUSG00000055932	Fto	92040153	92395067	8
ENSMUSG00000106262	Gm43375	95847398	95849877	3
ENSMUSG00000087200	Lrp8os3	107650358	107659261	4
ENSMUSG00000106640	Gm20940	95871341	95871700	3
ENSMUSG00000015745	Plekho1	95895741	95903313	3
ENSMUSG00000028613	Lrp8	107659066	107734037	4
ENSMUSG00000074651	Mcidas	113130379	113136928	13
ENSMUSG00000090173	Fbxw10	62737895	62768291	11
ENSMUSG00000047884	Klk9	43441315	43446181	7
ENSMUSG00000088718	Gm22732	37297908	37298025	4
ENSMUSG00000102385	Gm38144	96598054	96598518	15
ENSMUSG00000098499	Mir6975	35463051	35463111	17
ENSMUSG00000098269	Mir8094	35470265	35470381	17
ENSMUSG00000095638	Gm8888	96664647	96664959	15
ENSMUSG00000073411	H2-D1	35481706	35486475	17
ENSMUSG00000022057	Adamdec1	68800829	68819544	14
ENSMUSG00000116202	Rpl10a-ps3	96820641	96821286	15
ENSMUSG00000022464	Slc38a4	96892701	96953837	15
ENSMUSG00000078926	Cdc20b	113171645	113227729	13
ENSMUSG00000064023	Klk8	43447001	43453250	7
ENSMUSG00000107105	Gm15820	54251345	54252422	5
ENSMUSG00000105912	Gm10440	54507333	54515885	5
ENSMUSG00000015747	Vps45	95907144	95965778	3
ENSMUSG00000106529	Gm18451	54727247	54735354	5
ENSMUSG00000093701	Gm21970	91188609	91216339	16
ENSMUSG00000076146	Mir449c	113172517	113172625	13
ENSMUSG00000078027	Mir449b	113173953	113174032	13
ENSMUSG00000065575	Mir449a	113174068	113174158	13
ENSMUSG00000105143	Gm8069	54809310	54809463	5
ENSMUSG00000074650	Gm10735	113175835	113178777	13
ENSMUSG00000021760	Gpx8	113179287	113182944	13
ENSMUSG00000022969	Il10rb	91203052	91222722	16
ENSMUSG00000106126	Gm43781	54964676	54967356	5
ENSMUSG00000119405	AC171272.18	59173776	59173853	7
ENSMUSG00000106113	Gm43779	55153962	55154790	5
ENSMUSG00000025235	Bbs4	59229273	59260791	9
ENSMUSG00000105702	Gm43780	55660871	55664470	5
ENSMUSG00000105384	Gm43396	55740987	55741692	5
ENSMUSG00000105551	Gm43199	55741836	55742142	5
ENSMUSG00000116554	4930563N14Rik	113214640	113215681	13
ENSMUSG00000083902	Tent2-ps1	55781532	55782933	5
ENSMUSG00000079465	Col4a3	82564642	82699780	1
ENSMUSG00000023132	Gzma	113230359	113237515	13
ENSMUSG00000030713	Klk7	43460718	43465783	7
ENSMUSG00000105186	Gm43778	55810291	55810489	5
ENSMUSG00000106335	Gm20223	55879959	55880763	5
ENSMUSG00000105678	Gm43705	55946513	55950229	5
ENSMUSG00000105685	Gm43315	56314680	56314992	5
ENSMUSG00000106326	Gm42977	56571552	56647574	5
ENSMUSG00000083596	Rpl21-ps15	149998163	149998645	X
ENSMUSG00000084771	A230072E10Rik	150074970	150127842	X
ENSMUSG00000014725	Adam28	68843476	68893291	14
ENSMUSG00000077691	Gm25344	65251712	65251847	17
ENSMUSG00000119004	AC119957.1	66393089	66393195	17
ENSMUSG00000014177	Tvp23b	62770281	62807606	11
ENSMUSG00000088539	Gm23277	120621786	120621921	X
ENSMUSG00000104739	Gm3283	57386608	57387957	5
ENSMUSG00000104560	Gm8115	57418614	57419349	5
ENSMUSG00000105291	Gm18901	57513177	57514620	5
ENSMUSG00000025262	Fam120c	150127171	150254838	X
ENSMUSG00000105693	Gm43706	57608968	57611619	5
ENSMUSG00000104892	Gm6615	57617502	57618132	5
ENSMUSG00000051002	Gm9848	113244607	113244865	13
ENSMUSG00000097216	4932441J04Rik	57727424	57877543	5
ENSMUSG00000114333	1700084D21Rik	113272617	113280546	13
ENSMUSG00000116295	Gm32885	97054910	97065125	15
ENSMUSG00000050063	Klk6	43473923	43481454	7
ENSMUSG00000116741	Gm49564	113287211	113287984	13
ENSMUSG00000042385	Gzmk	113308142	113362442	13
ENSMUSG00000116987	Gm49625	91232181	91261691	16
ENSMUSG00000116782	Gm46562	91255309	91255500	16
ENSMUSG00000084866	A930006K02Rik	91261913	91267016	16
ENSMUSG00000112981	5033424D13Rik	108844695	108845342	12
ENSMUSG00000048218	Amigo2	97142006	97145168	15
ENSMUSG00000116544	Gm49626	91262013	91273872	16
ENSMUSG00000040877	Wdr25	108859557	108994378	12
ENSMUSG00000051116	Gm8121	57765911	57766409	5
ENSMUSG00000104924	Gm43002	57775186	57775340	5
ENSMUSG00000022967	Ifnar1	91282126	91304329	16
ENSMUSG00000106517	Gm42634	57853339	57853719	5
ENSMUSG00000105995	Gm43554	95994183	95994368	3
ENSMUSG00000029108	Pcdh7	57875309	58290572	5
ENSMUSG00000025234	Arih1	59295541	59393901	9
ENSMUSG00000038495	Otud7b	96011839	96068446	3
ENSMUSG00000044250	Pced1b	97144988	97283561	15
ENSMUSG00000042379	Esm1	113346193	113354632	13
ENSMUSG00000110233	Gm45427	92117321	92118573	8
ENSMUSG00000092444	Gm18733	35497152	35498390	17
ENSMUSG00000110138	4831440D22Rik	92176149	92201226	8
ENSMUSG00000110079	Gm45292	92176934	92179140	8
ENSMUSG00000109642	Gm45289	92219647	92222223	8
ENSMUSG00000021763	Cspg4b	113429693	113516245	13
ENSMUSG00000116291	Gm4383	97200233	97200855	15
ENSMUSG00000109709	Gm45290	92255463	92259352	8
ENSMUSG00000092438	Gm18734	35523182	35525293	17
ENSMUSG00000110068	Gm45294	92305916	92308017	8
ENSMUSG00000116131	Gm49506	97455672	97456171	15
ENSMUSG00000090778	Gm3235	92348076	92356357	8
ENSMUSG00000022466	Rpap3	97572978	97603706	15
ENSMUSG00000110325	Gm45293	92359707	92361518	8
ENSMUSG00000110302	Gm45295	92397480	92398525	8
ENSMUSG00000110371	Gm9619	92415002	92415763	8
ENSMUSG00000105940	Gm42635	57881735	57884305	5
ENSMUSG00000110073	Gm2875	92416381	92416740	8
ENSMUSG00000074155	Klk5	43491395	43500605	7
ENSMUSG00000086677	Tvp23bos	62809905	62812418	11
ENSMUSG00000104821	Gm42481	57936215	57938392	5
ENSMUSG00000110216	Gm36325	92436861	92441041	8
ENSMUSG00000110304	Gm36380	92515136	92520876	8
ENSMUSG00000105637	Gm42480	57950501	57953095	5
ENSMUSG00000031734	Irx3	92525153	92528695	8
ENSMUSG00000105050	Gm42482	57955845	57957791	5
ENSMUSG00000087039	Cdrt4os2	62841251	62841905	11
ENSMUSG00000113966	Gm47980	108926838	108929758	12
ENSMUSG00000079507	H2-Q1	35539381	35544075	17
ENSMUSG00000104564	Gm17977	58057076	58057649	5
ENSMUSG00000113478	Gm18405	108957067	108957577	12
ENSMUSG00000042200	Cdrt4	62842019	62883921	11
ENSMUSG00000107676	Gm44178	88896690	88899619	6
ENSMUSG00000040867	Begain	108998113	109034143	12
ENSMUSG00000055403	4933427D06Rik	88927665	89087013	6
ENSMUSG00000105079	Gm43715	58061981	58064695	5
ENSMUSG00000114864	Gm41071	113556872	113560423	13
ENSMUSG00000105877	Gm42479	58082962	58084317	5
ENSMUSG00000108781	Gm44707	43505510	43506837	7
ENSMUSG00000114790	4921509O07Rik	113582824	113639380	13
ENSMUSG00000108527	Gm45173	43513307	43513611	7
ENSMUSG00000106337	Gm42478	58087092	58088558	5
ENSMUSG00000006948	Klk4	43530584	43535228	7
ENSMUSG00000104871	Gm42639	58102384	58104254	5
ENSMUSG00000114659	Gm31191	113616511	113616779	13
ENSMUSG00000087604	Cdrt4os1	62881279	62894960	11
ENSMUSG00000105431	Gm42640	58118936	58120130	5
ENSMUSG00000114364	Gm47426	113625492	113625671	13
ENSMUSG00000114715	Gm34471	113665575	113704303	13
ENSMUSG00000104709	Gm42484	58122756	58124859	5
ENSMUSG00000103959	Gm37720	58141554	58142794	5
ENSMUSG00000106646	Gm42483	58204673	58206414	5
ENSMUSG00000042189	Tekt3	62952480	62985790	11
ENSMUSG00000042364	Snx18	113728715	113755100	13
ENSMUSG00000105049	Gm42486	58278781	58282266	5
ENSMUSG00000105525	Gm42976	58306965	58307186	5
ENSMUSG00000091655	Gm8741	35554885	35555268	17
ENSMUSG00000091705	H2-Q2	35561218	35565738	17
ENSMUSG00000106146	Gm43045	58330777	58332871	5
ENSMUSG00000097564	C430014B12Rik	82669649	82702890	1
ENSMUSG00000105269	Gm42999	58518976	58520854	5
ENSMUSG00000051456	Hspb3	113799432	113800212	13
ENSMUSG00000022468	Endou	97608896	97629220	15
ENSMUSG00000046413	Irx3os	92527043	92534167	8
ENSMUSG00000114417	Gm34586	113808854	113823076	13
ENSMUSG00000090254	Gm1965	89117976	89124370	6
ENSMUSG00000119797	AL837518.1	139599342	139599445	1
ENSMUSG00000105234	4930459L07Rik	58600582	58610342	5
ENSMUSG00000026150	Mff	82702611	82730115	1
ENSMUSG00000100557	1700029E06Rik	58610382	58612635	5
ENSMUSG00000114962	Gm6343	113897922	113898664	13
ENSMUSG00000108444	Klk2-ps	43565678	43571297	7
ENSMUSG00000114901	Gm47462	113900648	113900813	13
ENSMUSG00000114781	Gm47463	113901151	113901457	13
ENSMUSG00000114395	Gm47464	113928088	113928313	13
ENSMUSG00000106509	Gm43394	59157643	59158336	5
ENSMUSG00000055193	Klk15	43583164	43589063	7
ENSMUSG00000042348	Arl15	113931041	114293997	13
ENSMUSG00000045934	Mtmr11	96069321	96079034	3
ENSMUSG00000099664	Gm28511	92592499	92599623	8
ENSMUSG00000099812	Gm28515	92634193	92639694	8
ENSMUSG00000018217	Pmp22	63019808	63050373	11
ENSMUSG00000094696	Gm6632	59210942	59211895	5
ENSMUSG00000118823	AC117207.1	24647720	24647859	8
ENSMUSG00000084166	Gm6451	150196664	150197380	X
ENSMUSG00000109696	Gm36670	92700723	92718575	8
ENSMUSG00000110274	Gm36843	92724222	92735634	8
ENSMUSG00000082423	Gm15148	150276110	150276265	X
ENSMUSG00000106467	Gm43395	59236781	59239020	5
ENSMUSG00000101613	Gm28516	92751070	92765066	8
ENSMUSG00000041229	Phf8	150303668	150416855	X
ENSMUSG00000105038	Gm43044	59669308	59669686	5
ENSMUSG00000084301	Gm7856	91310029	91311521	16
ENSMUSG00000106634	Gm43042	59727045	59731585	5
ENSMUSG00000099308	Mir6367	91324331	91324432	16
ENSMUSG00000092253	H2-Q3	35577965	35578948	17
ENSMUSG00000082535	Gm7860	91336070	91336948	16
ENSMUSG00000104889	Gm43043	59935255	59935666	5
ENSMUSG00000110380	Gm45332	92878724	92884894	8
ENSMUSG00000110198	Gm45335	92899215	92915752	8
ENSMUSG00000022965	Ifngr2	91343960	91362511	16
ENSMUSG00000104563	Gm43041	60110854	60113483	5
ENSMUSG00000110134	Gm45334	92959753	92974587	8
ENSMUSG00000106013	4933402J10Rik	60120462	60143347	5
ENSMUSG00000031736	Crnde	93052661	93082748	8
ENSMUSG00000113306	Mif-ps7	109064153	109064479	12
ENSMUSG00000108432	Gm44756	43587481	43625997	7
ENSMUSG00000105158	Gm42862	60154284	60156904	5
ENSMUSG00000060161	Klk1b7-ps	43592086	43595351	7
ENSMUSG00000040856	Dlk1	109418749	109429262	12
ENSMUSG00000106250	Gm43392	60182239	60182672	5
ENSMUSG00000114696	Gm47479	114254977	114256952	13
ENSMUSG00000079505	Gm11131	35595997	35599268	17
ENSMUSG00000114213	A430090L17Rik	114260884	114288128	13
ENSMUSG00000106170	Gm43393	60183033	60183226	5
ENSMUSG00000035929	H2-Q4	35598593	35604266	17
ENSMUSG00000106042	Gm42861	60333259	60333892	5
ENSMUSG00000090516	Rps11-ps1	59379042	59379516	9
ENSMUSG00000087034	Cbfa2t2-ps1	60388826	60389555	5
ENSMUSG00000111852	Gm33180	59406644	59420148	9
ENSMUSG00000090013	Gm6507	89161654	89163007	6
ENSMUSG00000119237	mmu-mir-12186	83247105	83247160	15
ENSMUSG00000119419	mmu-mir-12186	83226004	83226059	15
ENSMUSG00000049526	Tmem202	59425968	59447130	9
ENSMUSG00000108221	Gm44203	89178235	89178541	6
ENSMUSG00000106548	Gm43390	60735973	60736393	5
ENSMUSG00000105486	Gm3372	60831660	60833451	5
ENSMUSG00000060416	Gm839	89188147	89193219	6
ENSMUSG00000065013	Gm23508	109619467	109619538	12
ENSMUSG00000106044	Gm42860	60961059	60965049	5
ENSMUSG00000104314	Gm37907	114363647	114373968	13
ENSMUSG00000104775	Gm8182	60979002	60979770	5
ENSMUSG00000114655	4631422I05Rik	114377414	114379176	13
ENSMUSG00000085532	B430319H21Rik	63064740	63079280	11
ENSMUSG00000108323	Gm44945	43595673	43598317	7
ENSMUSG00000105903	1700014F14Rik	61098281	61102992	5
ENSMUSG00000114707	Gm47558	114418204	114420917	13
ENSMUSG00000106370	Gm43382	61495239	61496076	5
ENSMUSG00000063089	Klk1b8	43600088	43604365	7
ENSMUSG00000083052	Gm12285	63132069	63132301	11
ENSMUSG00000021764	Ndufs4	114424331	114524794	13
ENSMUSG00000081600	Gm12286	63203136	63204137	11
ENSMUSG00000085113	B130011K05Rik	63303995	63308714	11
ENSMUSG00000105675	Gm43383	61759913	61760381	5
ENSMUSG00000082256	Gm12287	63490458	63491749	11
ENSMUSG00000083142	Gm12288	63707845	63709126	11
ENSMUSG00000105573	Gm43384	61874373	61875009	5
ENSMUSG00000081455	Hmgb1-ps3	63737009	63737644	11
ENSMUSG00000089992	G6pd2	61966159	61968506	5
ENSMUSG00000065763	Gm23847	129636818	129636927	7
ENSMUSG00000107732	Gm44204	89234802	89236118	6
ENSMUSG00000070407	Hs3st3b1	63776618	63813116	11
ENSMUSG00000106530	Gm42430	62161563	62162178	5
ENSMUSG00000107622	4930512J16Rik	89246493	89262707	6
ENSMUSG00000095651	Gm21817	93063296	93065878	8
ENSMUSG00000022469	Rapgef3	97642651	97665853	15
ENSMUSG00000065389	Gm23100	109602785	109602925	7
ENSMUSG00000105285	Gm43238	62586062	62586420	5
ENSMUSG00000031737	Irx5	93084253	93102914	8
ENSMUSG00000045518	Onecut3	80330669	80353110	10
ENSMUSG00000055413	H2-Q5	35613102	35616776	17
ENSMUSG00000108651	Klk1b2-ps	43608246	43612372	7
ENSMUSG00000037999	Arap2	62759788	62923502	5
ENSMUSG00000097816	Gm26811	89281612	89304603	6
ENSMUSG00000063133	Klk1b1	43616175	43620742	7
ENSMUSG00000104429	2610034O05Rik	80344603	80345457	10
ENSMUSG00000030084	Plxna1	89293296	89339602	6
ENSMUSG00000003341	Atp8b3	80355418	80374958	10
ENSMUSG00000025232	Hexa	59446823	59472392	9
ENSMUSG00000042148	Cox10	63853453	63970294	11
ENSMUSG00000114712	Gm47569	114571945	114573235	13
ENSMUSG00000114520	Gm41073	114574329	114574750	13
ENSMUSG00000110290	Gm45336	93192395	93196293	8
ENSMUSG00000022964	Tmem50b	91371391	91394688	16
ENSMUSG00000021765	Fst	114588826	114595487	13
ENSMUSG00000114641	Gm46476	68969403	68969805	14
ENSMUSG00000031738	Irx6	93400916	93407584	8
ENSMUSG00000114679	Gm47256	69112284	69112578	14
ENSMUSG00000092560	Gm8750	35619775	35622703	17
ENSMUSG00000114833	Gm41192	69256883	69267101	14
ENSMUSG00000014813	Stc1	69266687	69279253	14
ENSMUSG00000073409	H2-Q6	35643826	35649031	17
ENSMUSG00000092687	Gm25744	35170989	35171051	17
ENSMUSG00000118314	1700001K23Rik	53237167	53253836	19
ENSMUSG00000108746	Gm45198	43621676	43623712	7
ENSMUSG00000059042	Klk1b9	43625485	43629800	7
ENSMUSG00000097204	Gm17690	96074780	96079732	3
ENSMUSG00000118350	Gm36339	53255062	53255295	19
ENSMUSG00000068856	Sf3b4	96079648	96084880	3
ENSMUSG00000098713	Rps2-ps5	69396120	69396968	14
ENSMUSG00000092499	1700092C10Rik	69402246	69409306	14
ENSMUSG00000025025	Mxi1	53298949	53364241	19
ENSMUSG00000086359	9630013K17Rik	63855052	63858866	11
ENSMUSG00000084884	Gm12289	63903441	63906050	11
ENSMUSG00000060550	H2-Q7	35658131	35662749	17
ENSMUSG00000044186	Nkx2-6	69409251	69412967	14
ENSMUSG00000087497	2810001G20Rik	63970310	63974085	11
ENSMUSG00000110023	Gm45505	93406800	93408822	8
ENSMUSG00000078967	Gapdh-ps16	93442375	93443603	8
ENSMUSG00000031740	Mmp2	93553919	93580048	8
ENSMUSG00000089069	Gm22840	93867596	93867731	6
ENSMUSG00000038486	Sv2a	96088467	96102837	3
ENSMUSG00000085337	Gm15964	91408356	91420749	16
ENSMUSG00000101450	Gm28941	82717412	82718428	1
ENSMUSG00000114935	Gm47040	114595199	114598583	13
ENSMUSG00000039763	Dnajc28	91411142	91415914	16
ENSMUSG00000108730	Gm45135	43630158	43643554	7
ENSMUSG00000026149	Tm4sf20	82734370	82746182	1
ENSMUSG00000087622	Gm12290	64055399	64072997	11
ENSMUSG00000108602	Klk1b10-ps	43637217	43641509	7
